,precision,recall,f1-score,support
Wake,0.9722376457523598,0.8689826302729529,0.9177148846960168,26195.0
N1,0.31755132235990385,0.5162357185808779,0.39322111530974463,3326.0
N2,0.6661531351101525,0.6014744748921964,0.6321637426900585,7189.0
N3,0.2409706546275395,0.830739299610895,0.37357830271216097,514.0
REM,0.5193370165745856,0.5477855477855478,0.5331820760068066,2574.0
accuracy,0.7699130609578371,0.7699130609578371,0.7699130609578371,0.7699130609578371
macro avg,0.5432499548849083,0.673043534228494,0.5699720242829576,39798.0
weighted avg,0.8234973645434577,0.7699130609578371,0.7904027813349105,39798.0
